Street,zipcode
Crissom Ln & Kissman Dr,78728
12221 N Mopac Expy,78759
11675 Jollyville Rd,78759
10248 Old Lockhart in Travis,78747
Dove Springs And Pleasant Valley,78744
4702 Dove Springs Drive,78744
13838 The Lakes Blvd in Pflugerville,78753
Greenbelt At Gus Fruh,78704
7214 Lake Charles,78744
508 E Howard Lane,78753
13103 Lubbock Ln,78729
Springdale Rd And Bolm Rd,78702
4401 Freidrich,78744
2505 Bitter Creek,78744
9300 Brents Elm Dr,78744
12529 Sky Harbor Drive in Del Valle,78617
5006 Cape Verde Cv,78744
5365 Westminster Dr,78723
Grove And Riverside,78741
6103 Conti Ct,78744
"4100 Duval Road Bldg. 2, Suite 101",78759
Montopolis/Riverside,78741
5706 Teri Rd,78744
San Francisco Javier Catholic Church,78747
11800 Stonehollow,78758
400 W Cesar Chavez St,78701
7930 Rockwood,78757
9810 Fm 969,78724
9801 Cottle Dr,78753
11101 Metric Blvd,78758
501 East 8Th,78701
W Riverside Dr And S 1St,78704
2900 Oak Springs,78702
1614 Wheeles Lane,78723
South Point Village,78741
Metric Blvd And Lamplight Village Ave,78758
Ranft Cv,78617
4608 Button Bend,78744
12234 S Ih 35,78747
5607 Highland Crest Dr,78731
2809 W Hwy 290,78620
2Nd And Salina,78702
Hunters Bend And 969,78725
Ragsdale St And Mueller Blvd,78723
9300 Ih 35 Frontage Rd,78748
3101 West Terrace Drive,78757
Grove And Fairway St,78741
Booth Cir And Amos Dr in Travis,78641
107 Cloudview Dr,78745
1737 Cricket Hollow Drive,78758
8303 Beaver Brook Ln,78748
1517 Fairfield,78757
10015 Lake Creek Parkway,78729
9701 Aberdeen Way,78753
9112 Evelyn Rd in Del Valle,78747
2828 Locke Lane A,78704
2811 East 2Nd,78702
7005,78723
1701 Corona Dr,78723
Duval Rd And Research Blvd,78759
7247 Cameron Rd,78752
420 E Fm 1626 A,78748
Ross Rd And Pearce Ln,78617
506 West 37Th St,78705
12708 Poquoson,78727
1101 Manlove St,78741
1600 Royal Crest Dr,78741
Wexford Dr And Blackmoor Dr,78759
E 12Th St And Airport Blvd,78702
Walter Vaughn Rd & Mason Stone Cv in Travis,78653
13812 Flat Top Ranch,78732
3301 Thompson St,78702
1840 Burton #197,
6309 Dooley Trl,78724
12400 Zeller,78753
506 W 37Th,78705
12100 Block Walter Vaughn Dr in Manor,78653
2201 Langford Cv,78723
3005 E 3Rd St,78702
Wagon Crossing Path And Wagon Bend,78744
3201 Bee Caves Rd,78746
N Lamar And 183,
8603 Fathom Circle,78750
5613 Man O War Stretch Drive in Del Valle,78617
2305 Shelby Oak,78748
West William Cannon  West Mgate,
W. St. Johns Ave And Northcrest Blvd,78752
Steven Creek Way,78721
4404 Tanarack Trl,78727
Congress/Oltorf,78704
W Stassney Ln And Manchaca Rd,78745
2205 Voyageurs,78747
2801 Lyons Rd,78702
East 13Th Street And Salina Street,78702
Webberville Rd & Pleasant Valley,
13021 Legendary,78727
Remington Ln And Fairfield,78758
4600 Rocking Chair Rd,78744
Hollybluff St And Middle Fiskville Rd,78753
Melstone Dr in Manor,78653
1820 W. Stassney,78745
4605 Jinx,78745
11401 E 290,78737
Airport Blvd And Higgins St,78722
2701 Greenlawn,78757
8400 Tree House Lane,78749
Richardine Ave And Ledesma Rd,78721
1011 Chesapeake Dr,78758
11113 Research Blvd,78759
12407 N Mopac Expy,78758
8746 Shoal Creek Blvd,78757
2305 Park Ln,78621
484 Ralph Ablanedo,78748
2200 S. Pleasant Valley #207,78741
1704 Mems Dr,
16415 Greenwood Drive in Del Valle,78617
6806 Trendel Ln,78744
Dorchester Dr And Benwick Cir,78723
7619 Interstate 35 Frontage Rd,78752
1910 Bouldin Ave,78704
1904 Ford,78704
2800 Webberville Road,78702
Redd St And Jinx Ave,78745
1102 Colony North Dr,78758
8107 Matchlock Cove,78729
Ih 35 And Rundberg Ln,78753
10610 Morado Circle # 2631,78759
Atascosa Dr And Cape Verde Cv,78744
1040 Springdale Rd,78721
3504 Basford Rd,78722
Carson Creek Blvd And Warrior Ln,78617
5338 Thunder Creek Dr,78759
5502 Sapote Ct,78744
5400 Jimmy Clay Dr,78744
5400 Fence Row,78744
Cottonwood St And Apple Orchard Ln,78744
Union Circle,78744
Farm To Market 969 & Oak St,
Elmont Drive And Pleasant Valley,78741
402 Chippendale,78745
Nash Hernandez Senior Rd And Comal St,78702
2508 E Riverside,78741
4801 Candletree Ln,78744
20 Strandtman Cv,78702
Puebla Dr in Del Valle,78617
Burton Dr And Woodland Ave,78741
13252 George Bush St in Manor,78653
2607 Corabella Pl in Cedar Park,78613
3721 N Rr 620,78734
6113 Caddie St,78741
9202 Fm 812,78719
5400 Brodie Lane,78745
1405 Theodora Cv,78753
Wells Branch Pkwy And Thermal Dr,78728
3101 Shoreline,78728
4812 N Ih35,78751
8800 N Ih35,78753
16913 Jaron Dr in Manor,78653
E Anderson Ln And Cameron Rd,78752
Anderson Mill And Villa Park Dr,78729
1201 E Rundberg Ln,78753
3001 S Congress,78704
12574 Research Blvd,78759
8507 Remington Ln,78758
109 W Towns in Manor,78653
9401 N Ih 35,78753
206 E Skyview Rd,78752
609 E 48Th St,78751
9312 Sprinkle Rd,78754
9318 Sprinkle Rd,78754
E William Cannon Dr & Circle South Rd,
15000 Pearce Ln,78617
Wells Port And Emmet,78728
Ben White And Manchaca,78704
Tara Dr & Springtime Trl,02188
Sylvan Glade & Clawson,
9620 Beck Circle,78758
E 51St And Duval St,78751
1501 S Mopac Espressway,78746
1704 Ridgemont,78723
E.William Cannon/Pleasant Valley,78744
3201 Esperanza #428,78758
San Jacinto And 3Rd,78701
15300 Fm 969 in Travis,78724
Renel Dr And Selma Dr,78758
Oak Springs/Gunter,78721
Berkman Dr And Broadmoor Dr,78723
604 Turley Dr,78652
Tea Leaf Ln And Sweet Leaf Ln in Pflugerville,78660
5410 Porsche Lane,78749
11203 Pencewood Dr,78750
900 Plaza Dr,78753
E 45Th St And Airport Blvd,78751
Ih/30 And Pearce Lane in Del Valle,78617
Fm 973 And E Brenham St in Manor,78653
2600 Heatherwilde in Travis,78660
12300 Briar Creek Loop,78653
Adobe Trail & Callant Fox Road,86336
Sendero Hills Pkwy And Pinon Vista Dr,78724
8509 Farm To Market 969,78724
Panadero Cove & Quinton Drive,78747
23924 Milestone Road in Travis,78704
Manchaca And William Cannon Dr,78745
7406 Eganhill,78745
1711 Crown,78745
E Rundberg Ln And N Ih-35 Rd,
13606 Long Meadow Dr. in Pflugerville,78660
Harris Branch Pkwy & Magnus St,
5219 Tortuga Trail,78731
9500 Jollyville #199,
818 A King Albert Street,78745
35 Robert T. Martinez,78702
2915 Aftonshire #4107,
5601 Gloucester,78723
6811 Wiliam Wallace Way,78754
400 Grove Blvd.,78741
3405 N Ih 35,78722
1215 Slaughter Ln,78748
8700 Coulver Road in Travis,78747
908 Ramona,78704
404 Rio Grande,78701
Mc Kinney Falls/ Charles Goodwright,78744
7000 Burleson Rd,78744
Elmont Dr/Pleasant Valley,78741
South 5Th St And Cumberland Rd,78704
3600 S Capital Of Tx Hwy,78746
7604 Hawkeye,78749
1000 Rocking Horse,78748
20902 Jumpers Delight in Pflugerville,78660
5800 Wellington,78723
1111 Rutland Drive,78758
1807 W Rundberg,78758
6501 Ridge Oak,78749
"3115 Tom Green, 302",78705
Palmer/Metric,
1212 W 39Th,78756
4911 Blueberry Trl,78723
Lamppost/Scoffield,78727
11610 Parkfield Dr,78758
8700 Brookfield Drive,78758
2123 Fordham,78723
2613 Rogers Avenue,78722
1720 Grand Avenue Pkwy in Pflugerville,78660
9300 Ih 35,78748
7631 Hwy 290,78736
1628 Ohlen Rd,78758
260 Abott,78737
7404 Poinsetta Ln,78744
Camino La Costa/Atkinson,78723
2624 Gwendolyn Ln #B,78748
1410 Crestwood Rd,78722
Old Fredricksburg,
12413 Briarcreek Loop in Manor,78653
22Nd St And Coleto,78722
6001 Pino Ln,78744
1307 Smith Rd,78721
Independence Dr And Manchaca,78745
6306 Manchaca Rd,78745
Granberry And Aldea,78745
2239 Cromwell Cir,78741
E Oltorf St & Sunridge Dr,
7502 Duval,78752
7502 Duval St,78752
7234 Highway 290,78749
2203 Whirlaway in Travis,78617
Mlk And Comal,78702
2219 Post Rd,78704
8608 Swanson Ln,78748
701 W. Riverside,78704
7416 Onion Creek Drive,78744
2904 Brinwood Ave,78704
Capital View And Old Lockhart Rd,
S Lexington And Brenham in Manor,78653
3407 Northland Dr,78731
8540 N Lamar Blvd,78758
1210 Gobi Dr,78745
Comal And Haskel,78702
2704 Rivercrest Dr,78746
3403 King St,78705
206 East 9Th St,78701
Ross Rd And Hw 71 in Del Valle,78617
Sendero Hills Pkwy & Agatha Cir,78724
710 East Ben White Boulevard,78704
1908 Palm Vista Dr in Travis,78660
7113 Fm 969,78724
7211 Meador Ave,78752
Parmer Ln And Mopac,78727
11402 Indianhead Dr,78753
1400 Maricella Ln,78660
9901 Talleyran Dr,78750
Swiss Dr And Alpine Dr in Del Valle,78617
St Johns And Blessing,78752
1200 West St. Elmo,78745
11120 Boundless Valley Dr,78754
11920 Shropshire,78753
629 Dalton Ln,78742
1516 Villanova Dr,78757
Fm 973 And Hw 71 in Del Valle,78617
814 E Rundberg Ln,78753
7131 Oak Hollow Dr,78758
S Hwy 183 And 1625,78747
7500 S I H 35,78745
2929 Longhorn Blvd,78758
Davis Ln & Beckett Rd,28786
Ih 35 And Ih 183,
1144 Airport Boulevard,78702
8010 N Ih 35 Sb Service Rd,78753
7201 Levanader Loop,78702
7313 South Glenn St,78744
W Anderson Ln And Purnell Dr,78752
1912 Smith Rd,78721
403 Hackberry Ln,78753
Vinson Dr & Orland Blvd,72703
Teri Rd And Freidrich Ln,78744
Purple Sage Dr And Crystalbrook Dr,78724
1106 Rio Grande,78701
Adirondack Trail & Mesa Doble Ln,12134
310 West Wheeler Street in Manor,78653
6000 Palm Circle,78741
9052 Galewood,78758
Hergotz Lane & Thompson Lane,
515 Vargas Road,78741
Jaron & Carrie Manor in Manor,66160
Amherst Dr And W Palmer Ln,78727
Fred Morse Dr And Meadowood Dr,78723
2801 Gonzales,78702
115069 Old Lockhart Rd in Creedmoor,78747
907 Thompson Ln #6001,37129
Cameron Loop & Davis Lane,59718
1307 Smith Road,78721
1607 Cattle Cove,78748
8405 Old Bee Caves Rd,78735
11808 Plains Valley in Del Valle,78617
12633 Campana Drive in Del Valle,78617
Cannonleague Dr & Bissel Ln,78745
1400 Colleto Street,78702
Blake Manor Rd And Burleson Manor Rd in Manor,78653
East 290 in Manor,
2201 Waterway Bnd,78728
Webberville Road,
6911 Bennet St A,78751
Cadillac Dr And Chamberlain Ln,78724
9501 Hergotz,78742
Robert T Martinez/Santa Rita,78702
501 Stassney Lane,78745
Cesar Chavez & San Saba,73129
9020 Tuscany Way,78754
11213 Kirkland Hill Path,78754
Derby Downs Dr And Wiley Way,78747
Old Lockhart Hwy & 1625 in Travis,
N Interstate 35 And E 38Th St,78722
2305 Windsor Rd,78703
20907 Delorio St in Manor,78653
4702 Creek Bend Dr,78744
17112 Rocky Ridge Rd #8,78734
Hazy Hill Rd & W 71 in Travis,77044
53Rd/Airport,78751
2119 Trede Drive,78745
13300 N Ih35,78753
8210 Briarwood Lane,78757
8436 Bangor Bend,78758
1502 Estrellas Dr in Travis,78617
7707 S Ih 35 Frontage Rd,78744
Woodcrest/Broad Oaks,78759
3917 Glengarry Dr,78731
North Lamar/Houston,78751
6909 Shannon Dr,78724
Sendero Hills,78724
115 East Old Settlers Blvd,78664
106 Florest Bnd,78756
Dessau Rd & E Rundberg Ln,
Town Center Dr (The Mansion At Stone Hill in Pflugerville,78660
6319 N I 35,78752
6804 North Capital Of Texas,78731
N Lamar Blvd And Ferguson Dr,78758
25909 Hamilton Pool Road in Travis,78663
15701 Pearce Ln in Travis,78617
11106 Laurel Creek Cir,78726
8900 N Lamar,78753
2204 Mission Hill,78741
Tahoe /Jones Rd,78745
183 & Fm 812 in Travis,78721
Did Not Put Where,
1601 Montopolis De,78741
Springdale Rd And E. Mlk Blvd,78721
Summer Cir And Faro Dr,78741
4611 Creek Bend Drive,78744
Pearce Ln & Kellam Rd in Del Valle,78714
5103 Woodgreen Cove,78745
4932 Lexington Meadow Ln in Del Valle,78617
6798 Blue Bluff Rd,78724
2201 West William Connon,78745
Tracy Lynn Ln And Gardner Rd,78721
1607 Cricket Hollow Dr,78758
Scofield Farms Rd,
W Parmer Ln Silver Spur,78727
4303 Banister Lane,78745
14601 Alps,78617
Yager Lane & Parmer Lane,
9112 Evelyn Rd in Travis,78747
4600 Nuckles Crossing Road 903,78744
Rutland Dr And Metric Blvd,78758
8508 New Hampshire,78758
Jamestown Dr And Us-183,78758
Golden Valley Dr And Briarcreek Loop in Manor,78653
Ploverwell Lane & Rose Pavonia Place,
8016 Tahoe Parke Cir,78726
Rowe Lane & Speidel Drive in Pflugerville,78660
1207 Southport Drive 101,78704
13433 Breezy Meadow in Manor,78653
7205 Hart Ln,78731
1705 Pebble Brook Dr,78752
Fm969/Fm973 in Travis,78724
9121 Nih35,78753
Cedar Creek Tx in Bastrop,
1220 Camino La Costa,78752
1149 Ebert Ave,78721
7107 Appaloosa Ct in Mustang Ridge,78610
Westlake,78746
13542 N 183,78750
909 Fairfield Dr,78758
909 Fairfield,78758
4709 Lake George Ln,78754
E Stassney Ln And S Congress Ave,78745
508 East Howard Lane,78753
6806 Breezy Hill in Travis,78724
1400 Coleto St,78702
6906 Breezy Hill in Travis,78724
8105 Linden in Travis,78617
6717 Adair Dr,78754
21200 Bertram Ln in Lakeway,78669
9300 Northgate Apt 219,78758
9424 Sawyer Fay Ln,78748
Mountain Quail & Quail Creek,85346
N Lamar Blvd & W Grady Dr,
600 W. 26Th,78705
4609 Mantle Dr,78746
Bolm Rd,
Airport Blvd And Bolm Rd,78702
1300 Broadmoor Dr,78723
E Anderson Ln And E Anderson Ln,
W Slaughter Ln And S 1St St,78744
2800 S Lamar Blvd,78704
2418 Stratford Dr,78746
11505 Catalona Dr,78741
10000 Research Blvd,78759
Apperson St And Schebler St,78617
3039 Tx-71 in Del Valle,78617
13404 Saddlebrook Trail,78729
6803 Viewing Pl,78719
1601 E 5Th St,78702
Tree Bend Dr/Folkstone Cv,78750
13414 Broadmeade,78729
Turnersville Rd And Turnersvill Rd S in Travis,78610
5920 San Felipe,78729
Shoal Creek Blvd,
Rowe Ln And Algreg St in Pflugerville,78660
6810 Deatonhill Dr,78745
2301 Polaris St,78757
11701 Tallow Field Way,78758
Riata Vista Cir And Parmer Ln,78727
200 E Elizabeth St,78704
8300 Citation Ave in Travis,78719
Manchaca And Slaughter Ln in Travis,78748
973 + 969 in Travis,
Bolm,
6809 Syracuse,78723
10013 N Fm 620,78726
White Wing And Coventon Ln,78753
Pollyanna Ave/Sandpiper Ave,78753
Fm 620 And W Parmer Ln,78717
18900 Falcon Pointe Blvd in Travis,78660
11602 Minda Circle,78758
4910 Brassiewood Dr,78744
Dessau Rd And E Palmer Ln,78754
107 E. Wheeler St in Manor,78653
6007 Ivy Hills Dr,78759
Travis Country Cir And Woodside Dr,78735
5215 Halmark Drive,78723
8101 Pinto Path,78736
Goodwood Dr And Teri Rd,78744
13110 Bennington Ln,78753
98 San Jacinto Blvd,78701
4501 Blue Meadow,78744
South View/ Hwy 290,78737
17002 Majestic Ridge in Travis,78738
Rockway Drive & Oak Grove Circle,70817
Stonleigh Pl And Blue Dawn Trail,78744
4903 Crest Oak Road,78744
3516 5Th Ave,78702
1303 Grafton Lane in Pflugerville,78660
Burnet Rd And Colfax,78757
Hidden Lake Crossing And Rolling Water Dr in Pflugerville,78660
1126 Gardner,78721
9410 Circle Drive,78736
1920 Crooked Ln,78741
Live Oak And S Congress,78704
401 Cloudview,78745
71 & Tx 45,74133
2409 Rick Whinery Dr in Travis,78728
Springville Ln & Ladybug St,35215
Parmer Lane & Dessau Rd,
3737 Airport Blvd,78722
Fm 1626 & South 1St Street,
7601 Daffan Ln # 168,78724
325 E Garrett Run,78753
15918 Windermere Dr,78660
1817 E Oltorf St Building 20,78741
3108 Wheeler Street,78705
Pedernales St And E5Th St,78702
1006 Banister Lane,78704
Brents Elm & Brandts Wood,78744
6222 Hillston Dr,78745
1307 Astor Pl,78721
S Ih-35 Service Road/Slaughter,78744
Perconte Dr And Welsh Way,78617
William Cannon & Elm Creek Drive,78744
10124 Aspen Street,78758
Monroe/S. 5Th,78704
Peyton Gin/183,78758
Palmer/Lamplight,78758
7110 Cadwill Dr,78724
2206 Donahue Lane,78744
5700 Garden Oaks,78745
600 River Road,78734
10708 Keystone Bend,78750
8310 Canoga,78724
Wirth Drive & Fm 1626,60561
6027 Bluebell Cir,78741
13706 Lazyridge Dr in Travis,78660
Melwood Drive And Dooley Trail,78724
Clawson And Ben White,78704
11923 Us Hwy 290 E in Manor,78737
Blk Bois D'Arc And Hwy 290 in Manor,78653
E 46Th St Apt 106,78751
H 29 And Blue Bluff in Travis,78724
Fairway St And Montopolis Dr,78741
5304 Spring Meadow Road,78744
12202 Tyson Cv,78758
E Oltorf St And S Plesant Valley,78741
Colony Loop Dr & Pondsdale Ln,78724
9901 Rodriguez Road,78747
10107 Rodriguez Road in Travis,78747
Parmer And Dessau in Travis,78754
2112 E. William Cannon,78744
Magin Meadow Dr,78744
5703 Whitebrook Dr,78724
6403 Plesant Valley,78744
8821 Ingrid Dr,78621
8200 Dunn St,78745
2513 Rockridge Dr,78744
4307 Everest Ln,78727
501 Shep St,78748
Stanislaus /Alexs Lane,
Fm 973 And Texas 45 Toll,78615
7402 Ladybug,78744
S1St/Eberhart,78745
1909 W 36Th,78731
4520 Bennett Ave,78751
10000 Blk Of Metric,78758
6009 Merriwood,78745
720 Bastrop Highway,78741
5600 Signal Pt,78724
7109 Seneca Cir,78736
5606 Palo Blanco,78744
5606 Fence Row,78744
9422 Brown Lane,78754
Great Brittian/Cockeney,78748
Palace Pkw & Tensley Trl,89815
3324 Plantation Dr,78745
4900 N Lamar Blvd,78751
Montopolis Dr And Walker Ln,78741
1303 E. 2Nd St,78702
2200 Panther Trl,78704
Parmer Ln And Anderson Mill,78729
Stassney Ln And Congress Ave,78745
Wells Branch Pkwy And Ih35,78728
1115 Estes Ave,78721
5717 Paseo Nuevo Circle,78617
Dittmar& S. 1St,78745
4414 E. St Elmo Rd,78744
3809 S Congress Ave,78704
7206 Twin Crest Dr,78752
Rowe Ln & Martin Ln in Pflugerville,78660
6157 Turnersville Rd in Travis,78610
Wickersham Ln & Cromwell Cir,78741
2317 E. Stassney,78744
Bluff Springs Rd & E William Cannon Dr,
10050 U.S. 183,78723
3102 Fort Worth,78748
N Meadows Dr And N Lamar Blvd,78753
Congress And Oltorf,78704
213 Bella Riva Dr in Travis,78734
501 Bastrop Hwy,78741
Burleson And 973 in Del Valle,
Oak Springs And Webberville,78702
3101 Oak Springs Dr,78702
7410 Mcneil Dr,78729
5606 Roosevelt Ave,78756
6904 Gudalupe St,78752
12912 Armstrong Ave,78653
Park Plaza Dr And Ih 35,78752
4402 Dovewood Dr,78744
Thome Valley & Tabby Cv,78617
Crystal Shore & Wells Port in Travis,29678
4701 Quicksilver Blvd,78744
6738 Elm Creek,78744
Hoeke And Palomino,78744
Athens And Brenham in Manor,78653
3308 Elija Street,78745
7522 N I H 35,78752
9971 Quail Blvd,78758
2401 S Lakeshore,78741
11923 Sunhillow Bend,78758
E Stassney Ln & Palo Blanco Ln,
11300 Doyle Overton Rd,78617
2005 Conestoga Trl #A,78744
9103 1625 Rd in Travis,
6605 Via Correto Dr,78749
1920 Gaston Pl,78723
2008 Sandberg,78752
7513 N Interstate Hwy 35,78752
Galindo And Vargas St,78741
6810 Galindo St,78741
713 Culp,78741
Brodie Ln & Davis Ln,
9506 Teasdale Terr # B,78753
9506 Teasdale Terr,78753
100 E Hoopes Ave in Travis,78660
S 1St/Stassney,78745
Oltorf/ Wickersham,78741
715 S Lamar Blvd,78704
Target @ 10107 Research Blvd,78759
Lamplight Village Ave & Rodeo Dr,
1605 Tamara,
14010 North Us Highway 183 Suite 430,78717
3010 Govalle,78702
7007 Guadalupe St,78752
Hogan Ave And Montopolis Dr,78741
911 E 3Rd St,78702
11500 Jollyville,78759
10710 Research Blvd,78759
10807 Topperwein Dr,78758
1416 Braes Ridge,78723
Mason Manor Apartments,78721
6005 Fm 973 in Del Valle,78617
1604 E 11Th,78702
Creekwood Rd & Blueberry Trl,74006
10705 Lambert Cir,78758
Metric Blvd & Kramer Ln,
1414 Kramer Ln,78758
2309 Ventura Dr,78741
Riverside Dr & Frontier Valley,
6112 Blue Bluff in Travis,78724
Weberville And 7Th St,78702
Webberville And 7Th,78702
S 1St/ South Center,78704
6708 Lancret Hill Dr,78745
Burnet Road & Mcneil,
Dessau Rd And Howard Ln,78754
16905 Jaron Drive in Manor,78653
6300 Bridge Point Pkwy,78730
8213 Edgemoore Place,78749
3630 North Hills Dr,78731
10610 Morado Circle,78759
Dunfries Ln And Tulloch Way,78754
Trotwood & Yager Lane,
Hwy 71 And S 1St St,78704
9101 Robinson Family Rd in Travis,78738
Tristam Dr in Travis,78621
7907 #3 Guadalupe St,64114
1773 Wells Branch in Travis,78728
Riverside & Wickersham,
1900 Wheless Ln,78723
2417 W Ben White,78704
3609 Munson,78721
12009 Morning View Drive in Travis,78617
916 W Lamar #A,
180208 River Timber Dr in Del Valle,78617
2015 E Riverside Dr #6,78741
Marble Creek,78747
Mariposa And Travis Heights,78704
Fallwell Ln And Guerrero Dr in Del Valle,78617
14723 Single Trace,78728
Brownie Dr And E Grady Dr,78753
1511 Pasadena Dr,78757
9820 Brandywine Cir,78750
11601 Domain Dr,78758
Jain Lane,78721
5508 Hwy 290 West,78735
96 S Congress Ave & Cesar Chevez,78704
819 Wagon Trl,78758
4703 Gonzalez,78702
20800 Block East Us 290 in Manor,78737
Elizabeth And South 1St,78704
14801 Vevey Drive in Del Valle,78617
1301 East Keeton Street,78722
2309 Granberry Dr,78745
13121 Spiers Way,78617
10001 Burleson Rd,78719
S Fm 812 Rd & Us 183 Hwy Nb in Travis,
Riverside/ South First,78704
3111 Parker Lane #157,
Montopolis & Felix Street,78741
15105 Cavalier Canyon Dr,78734
1703 Cloverleaf Drive,78723
Nuckols Crossing Rd And S Plesant Valley,78744
17817 Aleppo in Travis,78621
13808 Old Hwy 20 in Manor,78653
Metric Blvd & Parmer,
6802 Millikin Cove,78723
9220 Interstate 35 Frontage Rd,78753
Montopolis Drive & E Ben White,
1601 East Anderson Lane,78752
1313 Ginger Spice Ln in Pflugerville,78660
5517 Thunder Gulch in Travis,78617
Byers Ln And Crupp Ct,78753
1701 East 13Th,78702
S Pleasant Valley Rd And E William Cannon Dr,78744
4612 Turnstone,78744
6900 Trendal Ln,78744
Bail Ln And St Croix Ln in Pflugerville,78660
528 S Meadowlark St,78734
1102 Fiesta,78702
805 Nile Street,78702
5400 Jimmy Clay Drive,78744
2536 Sol Wilson,78702
2807 Collins Creek Dr,78741
710 E Ben White Blvd (Walmart Parking Lot),78704
9515 Old Lockhart Rd,78747
1830 Simond Ave,78723
525 N. Lamar,78703
Southwest Pkwy & Boston Ln,
Old Bee Caves Rd & Travis Cook Rd,78735
Texas Sun Drive,78748
740 Simonetti Drive,78748
Watchful Fox Dr And Fairchild Dr,78748
Barton Springs Rd And W Riverside Dr,78704
1703 S 1St St,78704
3686 Lost Creek Blvd,78735
Rundberg/Ih-35,78753
N Interstate 35 Frontage Rd & E Rundberg Ln,76712
2623 A Alcott Ln,78748
2330 West North Loop,78756
Fm 222 & Mcneil Drive,
Peterson Rd And Hokanson Rd in Del Valle,78617
Cameron Road & East 52Nd Street,
Monarch Ln And Bitterwood Dr,78724
9400 N Interstate 35,78753
12554 Riata Vista Circle,78727
301 W. Slaughter,78748
Tech Ridge Blvd,
6104 Jfk Drive,78724
204 Beaver,78753
5836 Pinon Vista,78724
Royal Crest Dr And E Riverside Dr,78741
2713 East 3Rd Street,78702
6104 Deridder Ct,78744
2808 Webberville Road,78702
9222 Burklund Farm Rd in Del Valle,78617
E Stassney Ln And Dove Springs Dr,78744
2513 Euclid Avenue,78704
6412 Ponca Street,78741
1500 Mossycup Lane,78724
100 W North Loop Blvd,78751
Hill Wood/Emerald Forest,78745
10707 Ih35 North,78753
916 E 50Th,78751
923 E 51St St,78751
502 Sheraton,78745
5304 Brookdale Ln,78723
12808 James Madison in Travis,78653
6017 Abilene,78749
1148 Miss Kimberly'S Ln in Pflugerville,78660
Elm Creek And Blue Meadow,78744
Airport Blvd And Montopolis Dr,78719
88 Congress Ave,78701
1600 Comal Street,78702
1398 Harris Ridge Blvd,
1100 E 3Rd St,78702
2308 Perry Ave #106,21040
2621 Alcott Ln,78748
12117 Manchaca,78748
12117 Manchaca Rd,78748
1011 Fm 1626 in Travis,78652
7701 Pitter Pat Ln,78736
Ingram Dr in Travis,78749
4908 E Yager Ln in Travis,78653
3616 Autumn Bay Drive,78744
Mckinney Falls/Burleson in Travis,78744
9901 Ledgestone in Travis,78737
8403 Shenandoah Dr,78753
4892 W Us 290 in Sunset Valley,78745
Bois D' Ard Rd/ Tower Ln in Travis,78653
12116 Research Blvd,78759
1801 Wells Branch in Travis,78728
8128 N Ih 35,78753
8200 Landsman,78736
15104 Pocmont Trail,78719
Harmon Ave And E 49Th St,78751
3200 Jones Rd,78745
7920 San Felipe Blvd,78729
12400 Tx-71 in Bee Cave,78738
9207 Quial Wood Dr,78758
12808 Old San Antonio Rd in Travis,78652
2500 E Stassney Ln,78744
Mckinney Falls Pkwy And Dee Gabriel Collins Rd,78744
Rutherford B Hayes St And James Garfield St in Manor,78653
E Ben White Blvd And E Riverside Dr,78741
4834 N Ih 35,78751
Brettonwoods Ln & Rutherford,
1070 Mearns Meadow Blvd,78758
Nuckols Crossing Rd And Teri Rd,78744
11900 Stonehollow Dr 313,78752
Burleson And Townsouth Cir.,
Bitter Creek Dr And Elm Creek Dr,78744
19313 Stokes Ln in Travis,78653
12203 B Alderbrook Drive,78758
7404 Mcneil Dr,78729
8001 S Ih 35 Frontage Rd,78744
1212 Westheimer Dr,78752
Gladeview / Lansing Dr,78745
Wells Branch And Ih 35,
Ih 35 And Hwy 183,
Pleasant Valley Dr And Thornwood Dr,78744
8509 Ruddington Dr,78748
815 W Slaughter Ln,78748
911 Battle Bend Blvd,78745
309 W Eggleston St in Manor,78653
Vara Dr And Springdale Rd,78754
El Paso St And Stacy Ln,78704
1418 E Anderson Ln,78752
2106 Tower Dr,78703
11008 N Lamar Blvd #A,78753
5305 Delores,78721
Mccall And Seeling,78744
Fairway And Blue Bell,78753
11931 Sunhillow,78758
11700 Us Hwy 183 S in Travis,78610
11612 Doyle Overton in Travis,78719
Manor And E Dean Keaton,78722
8903 Pointer Ln,78758
10706 Windy,78758
Springdale Rd And Old Manor Rd,78724
21St And Speedway,78712
Montopolis Dr And Richardson Ln,78741
Lago Vista in Travis,78645
1205 Begonia,78741
400 South Lamar Street,78704
5400 Cameron Rd,78723
8400 Jamestown,78758
Rundberg And Parkfeild,78758
3500 Dime Cir,78744
6214 Fm 973 South in Del Valle,78617
1902 Nueces,78705
12001 Metric Blvd Building 9,78758
1400 Tillery Street,78721
1308 Hyman Lane,78742
2000 E 7Th St,78702
1300 Parker Lane,78741
Turnstone And Pleasant Valley,78744
16901 Faguerquis Rd in Del Valle,78617
1400 S Congress Ave,78704
2200 Blue Meadow Drive,78744
6707 Gold Moss Cv,78745
14495 Robert I Walker Blvd,78728
2101 Frate Braker Road,78748
Emma Browning And Burleson Rd in Travis,78719
10505 Brownie Dr,78753
401 Masterson Pass,78753
E Riverside & Faro,78741
1700 Barton Hills,78704
5434 Walknut Grove Drive,78744
8024 Cobblestone,78735
Shoal Creek/Hwy 183,
